SiteID,Lat,Lon,UBA_ha,Gradient_per,Elev_m
1F001,38.824123,-78.203308,350.7,7.5,359.7
1F003,38.703098,-78.268295,1221.9,15.5,366.3
1F003_1,38.701545,-78.263362,1266.4,1.3,346
1F004,38.704247,-78.269524,1212.3,12.9,374.5
1F005,38.710518,-78.276047,986.6,3,408.3
1F006,38.715488,-78.381432,2199.6,4.3,285.7
1F007,38.712097,-78.370667,2029.7,6.5,314.1
1F008,38.711433,-78.359367,1827.2,4.9,341
1F030,38.694958,-78.279617,1834.4,2.4,352.3
1F031,38.69672,-78.283089,1785,1.7,357.2
1F056,38.80624,-78.154335,372.2,5.4,353.2
1F057,38.80685,-78.157211,336.4,10.9,375.6
1F058,38.806801,-78.161514,299.7,15.6,400.5
1F116,38.714603,-78.343094,1295.6,4.3,382.3
1F117,38.726986,-78.336281,947.1,7.7,445.3
1F118,38.74844,-78.3246,560.5,2.7,553.8
1F132,38.789494,-78.319206,675.8,3.1,289.2
1F133,38.825958,-78.195274,228.5,2.4,413.1
1F137,38.71925,-78.280838,807.2,4.9,453.5
1F138,38.72797,-78.29155,578,17.5,573.7
1F145,38.711964,-78.277336,944.5,2.7,414.1
1F218,38.685442,-78.276109,289.5,7.9,383.4
1F219,38.749464,-78.230386,175.7,15.5,398.9
1F225,38.777551,-78.255209,298,10.8,419.8
1F226,38.783093,-78.272288,180.2,6.2,407.2
1F233,38.772518,-78.162413,411.5,0.6,340.2
1F234,38.734845,-78.259727,286.7,2.4,401.2
1FVA1,38.723675,-78.336838,1022.9,4.9,429.4
1FVA2,38.703426,-78.291275,1116.8,3.4,383.2
1FVA3,38.708332,-78.3004,931.1,12.4,429.6
2F009,38.54044,-78.349388,1404.9,6,341
2F010,38.545456,-78.351936,1328.4,10.3,370
2F011,38.548187,-78.353409,1225.6,2.1,388.9
2F015,38.515408,-78.366425,2366.7,1.9,340.5
2F016,38.511337,-78.384499,1870.5,4.6,414.1
2F017,38.525082,-78.405914,975.4,7.3,640.1
2F029,38.477791,-78.481567,913.5,5.2,544.5
2F032,38.571072,-78.300156,1169.4,12.9,312.9
2F033,38.571148,-78.306679,917.3,4.2,350.5
2F034,38.567417,-78.317024,743.3,27.1,429.2
2F035,38.653763,-78.273354,1658.4,1.2,292.3
2F036,38.65733,-78.281921,950.5,7,322.3
2F037,38.659653,-78.285255,908,1.6,339.2
2F038,38.577385,-78.299622,2542.5,10.9,291.5
2F039,38.587368,-78.313026,2142.7,3.1,371.1
2F040,38.591686,-78.31675,1348.9,3.1,401.7
2F047,38.406616,-78.457871,734.9,4.2,472.5
2F048,38.412197,-78.469063,548,4,605.7
2F049,38.591713,-78.315613,417.3,2.4,400.7
2F050,38.5952,-78.316269,390.6,8.6,425.4
2F052,38.63081,-78.27269,862.3,10,450.4
2F053,38.634148,-78.284332,790.1,12.2,540.8
2F054,38.526409,-78.409737,432.3,10.2,670.5
2F055,38.522873,-78.420143,296.8,6,796.5
2F059,38.532753,-78.298348,261.8,30.8,340.5
2F060,38.537468,-78.305489,222.9,12.3,485
2F062,38.536884,-78.358925,550.4,2.3,410.1
2F063,38.566357,-78.395374,130.8,33,634
2F064,38.543713,-78.371338,362.8,7.3,668.2
2F065,38.54063,-78.365433,439.7,40.7,526.4
2F067,38.594345,-78.27433,237,13.4,360.1
2F068,38.596184,-78.277657,222.9,11.7,399.4
2F069,38.378079,-78.494988,478.5,22.6,540.8
2F071,38.615448,-78.261604,1336,13.3,320.4
2F072,38.444897,-78.371658,1062.4,7.9,314.5
2F072_1,38.445006,-78.371214,1063.8,8.8,310.6
2F073,38.450577,-78.37944,773.7,5.9,410.7
2F074,38.456242,-78.380447,731.2,7.7,460.8
2F075,38.458592,-78.398712,497.1,9.5,619.2
2F076,38.462627,-78.409905,242.3,11.5,750.7
2F089,38.625134,-78.268295,1003,11.5,410.8
2F090,38.630646,-78.294251,274.8,2,668
2F091,38.46695,-78.382866,2017.2,14.1,482
2F092,38.453423,-78.368324,2343.7,10.7,340.7
2F093,38.441162,-78.36792,3624,1.9,285
2F094,38.665764,-78.375679,1147.5,3.7,324.7
2F095,38.654202,-78.357979,921.8,1,383.4
2F096,38.651249,-78.35228,766.2,7,407.8
2F110,38.548779,-78.431953,314.6,7.5,506.8
2F111,38.545754,-78.428413,229.2,6.8,545.8
2F112,38.543461,-78.425957,211.9,7.9,580.8
2F113,38.487553,-78.498291,950.8,11,487
2F113_1,38.48609,-78.50136,970.6,9.9,474.2
2F114,38.496292,-78.499825,825.6,1.3,525.7
2F115,38.50058,-78.489243,623.9,1.3,585.1
2F119,38.574451,-78.403839,513.4,4.4,522.7
2F120,38.569898,-78.397782,188.7,20.9,591.2
2F121,38.566357,-78.395374,155.5,33,634
2F122,38.501251,-78.55941,484.9,0.4,397.3
2F129,38.47995,-78.475014,762.5,4.7,582.1
2F130,38.488644,-78.466133,543,9.4,668.6
2F131,38.632904,-78.358017,231.4,19.7,489.8
2F134,38.447739,-78.365189,2429.2,5.3,310.5
2F135,38.46336,-78.367416,2229.7,5.9,413.3
2F136,38.490452,-78.418221,1010,9.4,743.1
2F139,38.625958,-78.294647,366.2,11.5,653.2
2F140,38.615948,-78.379395,272.4,4.2,508.2
2F142,38.435414,-78.467585,146.9,5.7,864.6
2F222,38.450672,-78.445779,181.1,16.1,630.8
2F238,38.46476,-78.500497,877.7,15.5,429.5
2F239,38.555265,-78.427328,195.7,2.2,545.6
2F240,38.422501,-78.521588,428.5,2,461.7
2F242,38.435437,-78.468002,137.5,16.1,867.5
2F245,38.494881,-78.516289,246.3,10,492.8
2F247,38.377049,-78.571945,380.3,3.2,399
2F250,38.523208,-78.458675,215.2,5,576.7
2F251,38.429667,-78.537947,2054.5,1.2,381.4
2F252,38.570496,-78.304199,1007.3,2.7,337.9
2F253,38.577169,-78.371573,237.6,2.9,948.7
2F255,38.459003,-78.443176,347.8,14.3,659.8
2FVA10,38.43249,-78.433939,1434.5,8.5,437.4
2FVA4,38.471001,-78.382759,1878.1,3.9,505.7
2FVA5,38.487206,-78.406448,1256.3,11.7,675.8
3F018,38.279705,-78.64064,524,19.2,495.4
3F019,38.283257,-78.653313,272.2,20.7,624.6
3F020,38.277584,-78.654915,210,13.7,679.3
3F021,38.306488,-78.703613,2810.7,7.5,376
3F022,38.288899,-78.697662,2342.6,0.5,406.7
3F023,38.27216,-78.69902,1320.2,7.1,442.5
3F024,38.258495,-78.778595,1607,2.2,395.9
3F025,38.254787,-78.758583,1418.8,2.9,429.2
3F026,38.252075,-78.748337,674.5,5.5,445
3F041,38.342186,-78.511292,1238.3,3.8,408.5
3F042,38.346211,-78.519096,779.1,1.8,437.5
3F043,38.348858,-78.533493,373.1,5.5,532.5
3F044,38.182892,-78.738121,1235.8,1,498.1
3F045,38.164208,-78.744179,2077,7.5,417.7
3F046,38.14193,-78.749458,2603.1,18,312.7
3F078,38.165741,-78.745438,363.3,15.4,435.3
3F079,38.16647,-78.747139,355.6,47,471.7
3F080,38.170563,-78.754166,215,23.8,554.2
3F084,38.147896,-78.748543,2517.8,11.5,338
3F085,38.175201,-78.739822,1530.9,7.6,476.5
3F086,38.222782,-78.68663,1132.4,4.8,374.2
3F087,38.229595,-78.693008,1001.9,4.9,433.7
3F097,38.297161,-78.699951,2608,12.3,394.9
3F098,38.265682,-78.699059,571.8,1.9,471.4
3F099,38.322292,-78.659676,332,5.3,431.4
3F100,38.286614,-78.695198,832.7,0.1,414.1
3F101,38.261295,-78.702232,371.6,5,494.7
3F102,38.329491,-78.668068,515.5,1.8,393.1
3F103,38.334248,-78.67157,558.2,5.7,370
3F104,38.300758,-78.732773,286.4,3.8,414
3F105,38.2967,-78.727348,258.7,8.1,446.6
3F106,38.293564,-78.725716,223.4,27.4,462.6
3F107,38.158901,-78.811783,893.1,3.5,449.9
3F108,38.160297,-78.803207,855.1,8.2,476.1
3F109,38.165264,-78.795914,655.5,6.5,511.5
3F123,38.198669,-78.793381,1268.6,2.8,424.5
3F124,38.194737,-78.784065,932.4,2.3,444.9
3F125,38.195538,-78.778122,793.5,17.2,457.7
3F126,38.324535,-78.686287,735.9,4.8,377.7
3F127,38.31868,-78.681175,440.6,3.7,410.3
3F128,38.314457,-78.671906,327.9,17.5,450.4
3F143,38.096981,-78.807671,618.1,1.6,464.9
3F144,38.098885,-78.804718,595.1,7,471.1
3F263,38.317291,-78.631401,536.7,0.4,460.5
ADB-1,35.599041,-83.398789,239.1,23,1101.1
AMCR,34.98946,-83.273041,207.5,8.2,815
BACR,34.967964,-83.264725,183,13.9,747.7
BARU,39.48056,-76.698273,171,13.2,169.6
BCCR,34.766422,-83.984062,297.9,8.6,903.1
BEC-1,35.635685,-83.145775,1140.3,11.6,1018.3
BEC-2,35.635021,-83.149178,1110.3,20.3,1037.9
BECR,39.650158,-79.290634,2924.1,1.4,636
BEDR,41.378193,-78.337952,977.4,3.7,391.9
BEF-1,35.591858,-83.375755,1490.8,6.1,916.9
BEF-2,35.600643,-83.407578,375.3,6.2,1146.6
BHCR,39.633812,-77.477257,811.6,3.6,410
BHTR,39.614861,-76.670136,258.4,12.6,104.4
BIBR,36.556274,-81.8694,501.6,17.5,824.3
BIRU,41.471,-78.398,809.7,7.1,423.7
BLLO,39.602581,-79.071022,1893.5,14.1,549.9
BLMI,39.630461,-79.05863,945.1,3.9,626.5
BLUP,39.637093,-79.058983,845.9,3.7,649.3
BNCR,34.827755,-83.68306,155.3,10.9,806.5
BRCR,36.22826,-82.388855,477.7,5.7,678.6
BRLO,39.545017,-79.140762,3390,3.1,453.3
BRMI,39.554636,-79.147706,1910.6,2.8,480.3
BRUP,39.583305,-79.171066,1074.7,3.1,577.4
BSTR,39.656181,-76.738342,370.2,11.4,160
BUBR,39.586971,-77.491364,422.3,3.2,434
BUCR,34.776093,-84.00557,104.7,5,890
BUN-1,35.552872,-83.167099,361.5,8.1,1433.8
BUN-2,35.558216,-83.169373,236.8,22.7,1467.3
BUN-3,35.561409,-83.168358,207.2,6.4,1482
CCMI,39.492536,-79.166599,4221.2,11.4,499
CCUP,39.472371,-79.193461,2876.2,6.8,591.1
CHC-1,35.744606,-83.198692,249.7,34,837.1
CHRI,34.801998,-83.78714,541,2,724.3
CLTR,39.679401,-76.7715,179.9,12.2,163.1
COS-1,35.761589,-83.209969,1460.4,6.4,621.9
COS-2,35.746689,-83.199638,529.3,12.2,802.5
CRCR,34.946049,-83.09362,106.7,14.5,673.6
CTCR,39.494637,-79.165143,4246.9,13.4,487.2
DACR,34.649376,-84.181679,232.3,6.2,851.2
DEF-1,35.538275,-83.671691,391,17.1,858.7
DES-1,35.542648,-83.675674,657.5,6.3,898.2
DLRU,39.541401,-79.214066,169,5.9,672.3
DORI,36.1409,-82.12014,467.7,6.4,989.6
DPC-1,35.589264,-83.429493,193,10.7,1172.8
DPC-2,35.593945,-83.432335,170.7,7.8,1213.2
DPC-3,35.594856,-83.432884,167.2,34.9,1227.1
DUN-1,35.75902,-83.2796,10.4,10.8,670
DUN-2,35.75806,-83.27953,9.6,10.9,678.6
DUN-3,35.75649,-83.27979,8.2,11.3,694.3
DWBR,41.581669,-78.440605,1087.1,3.4,501.9
FCLLF,39.52832,-77.470734,1165.7,14.4,230.8
FCLRF,39.536172,-77.46717,627.8,5.3,261.8
FCP-1,35.597781,-83.56853,2208.8,3.9,1001.7
FCP-2,35.597338,-83.568604,1958.4,1.3,1005.8
FCP-3,35.613334,-82.466797,11.6,8.9,672.2
FCP-4,35.592033,-83.574341,811.3,13.7,1061.1
FCULF,39.539944,-77.477638,791.2,9,337.2
FCURF,39.541821,-77.465012,568.7,19.7,293.8
FLBR,34.953097,-83.538941,80.8,1.6,874.4
FLT-1,35.551708,-83.173767,151.1,2,1476.6
FMRU,41.584538,-78.249283,641.1,10.2,442.7
FRCR,34.657803,-84.159721,328.6,11.1,850.7
GECR,36.559231,-81.711105,553.3,24.8,967.4
GRLO,38.50948,-79.066101,2914.3,6.2,526
GRRU,39.668518,-76.856911,152.7,4.3,253.6
GRUP,38.520405,-79.087013,531.1,23.4,609.1
GUBR,34.837303,-83.784538,151.1,6.4,857.4
HAZ-1N,35.522007,-83.631386,3394.5,4.1,867.7
HAZ-2,35.544849,-83.58313,309.9,5.7,1189.9
HAZ-2N,35.529134,-83.619586,1107.4,8.3,931
HAZ-3,35.545208,-83.582954,306.9,22.5,1196.8
HAZ-3N,35.540798,-83.592133,620.6,9.2,1107.1
HECR,36.638683,-81.574051,462.1,3.4,1194.5
HIRU,39.609064,-77.415759,336.9,4,134.3
HOCR,34.982853,-83.285233,302.3,2.5,853.1
HSCR,34.795387,-83.708153,214.1,22.1,908.4
ICC-1,35.757156,-83.277206,784.2,23.4,672.5
ICC-1N,35.767754,-83.27224,1083.3,5.4,589.8
ICC-2,35.756302,-83.278053,781.9,12.8,682.2
ICC-3,35.75568,-83.278397,781.1,15.3,689.1
ICC-3N,35.737694,-83.277885,625.1,16.7,927
JDBR,41.229363,-78.364601,1175.6,0.8,574.2
KAN-1,35.585575,-83.364693,326.3,12.1,894.1
KEB-1,35.629791,-83.403091,114.3,9.1,1503.8
KEBR,39.627991,-76.428833,373.8,3.6,113
KECR,34.947712,-83.454346,300,31.3,805.3
KILO,34.964161,-83.102821,367.6,3.1,712.6
KIMI,34.96521,-83.091789,262.6,8.1,765.1
KIUP,34.96785,-83.084923,129.5,3.7,786.3
LEFO,36.693459,-81.514984,775.9,3,1077.6
LHCR,39.581379,-77.449898,1728.4,4.9,227.7
LIOR,38.477123,-79.916924,277.5,5.9,1245.4
LIRU,41.379158,-78.059837,1750.7,4,294.8
LOB-0,35.635615,-83.146698,839.1,19.2,1030.6
LOB-1,35.636191,-83.147266,837,3.1,1035.6
LOB-2,35.637327,-83.147782,830,4.6,1042.7
LOB-3,35.638373,-83.148274,824.3,15,1049.9
LOCR,34.768974,-83.990524,314.8,21.7,879.2
LPHC-1,36.146725,-82.049027,336.2,9.8,981.9
LPHC-2,36.1381,-82.044815,241.4,16.5,1099.6
LSC-A,38.925865,-78.653473,1919.9,5.1,399.8
LSC-B,38.934151,-78.645668,1510.6,18.6,443.8
LSC-C,38.941021,-78.642242,1018.7,3.9,486.7
LSC-D,38.948319,-78.635689,876.6,6.8,536.1
LSLO,39.597138,-79.054153,1246.9,5.8,582.4
LSMI,39.60043,-79.038506,725.5,2.8,704.8
LSUP,39.612381,-79.028091,551.3,11.2,777.4
LWCR,36.640156,-81.469368,515,26.7,1096.4
MABR,34.858725,-83.636272,42.6,7.8,862.8
MFLO,39.51376,-79.155968,2774.3,2.7,452.5
MFMI,39.512371,-79.161102,2682.1,19.1,468.1
MFUP,39.535034,-79.187935,1654.3,11.5,554.6
MIRU,39.546585,-78.90921,189.9,3.8,366.9
MORU,41.308899,-78.018753,429.1,8.8,264.6
MRLO,39.549946,-79.147026,1353.8,3.5,470.6
MRMI,39.55558,-79.118607,1251.5,1,464.8
MRUP,39.564629,-79.198158,504.4,16.5,619.4
NMCR,34.879902,-83.637985,88.8,14,910.5
OCLO,39.669609,-77.47831,773.4,5,338.8
OCUP,39.661453,-77.481255,690.8,1.3,366.2
PABR,39.6056,-76.641317,303.8,24.6,97.2
PAL-1,35.633753,-83.143965,1992.7,31.6,1001.6
PARU,41.637001,-78.255344,1478,1.4,433.4
PECR,34.960503,-83.488167,146.4,25.6,757.7
PICR,39.577385,-76.678238,373.3,3.3,140.5
PLLO,39.586174,-79.094727,2171.8,19.5,517.7
PLMI,39.598408,-79.118523,1780.2,12,575.4
PLUP,39.619903,-79.142947,831.8,7.9,712
POCR,34.900913,-83.578079,126.2,6,705.4
PRBR,34.770477,-84.042717,258.8,16.7,827.4
PRRU,41.692837,-77.918106,495.9,2.7,558.9
PTH-1,35.656788,-83.13501,831.1,13.5,1095.7
PTH-2,35.66209,-83.135162,496.4,16.3,1152.1
RACR,34.946041,-83.325287,64.7,1.9,967.9
RDLO,38.31625,-79.35321,2395.7,4.6,708.2
RDUP,38.334232,-79.337708,1906.1,3.6,771.6
ROC-1,35.761002,-83.210655,541.8,6.8,629
ROC-2,35.759605,-83.211716,537.7,9.7,645.4
ROC-3,35.757736,-83.212738,535.5,13.5,667.4
ROC-4,35.754444,-83.21375,533.9,6.5,686.7
ROC-5,35.754383,-83.214012,532.1,7.2,712.7
ROC-6,35.753349,-83.214073,530.6,15.9,725
ROC-7,35.745747,-83.216179,315.3,18.1,845.1
ROFK,37.05204,-81.437355,1225.2,16.8,905.5
ROFO,36.067509,-82.596039,571.2,5.3,983.7
RORU,41.479416,-78.140358,362.1,4.9,365.7
RPMB,36.120071,-82.095627,112.1,10.5,1241.3
RPR-1,35.634388,-83.4701,898.6,21.6,1035.2
RPR-2,35.63295,-83.468102,890.5,8.2,1059.2
RPR-5,35.626675,-83.470314,759.2,14.5,1140.6
RRTR,39.69397,-76.805763,296.8,3.3,185.3
SAM-6,35.578938,-83.654305,245,19.1,1058.3
SAM-7,35.574901,-83.65274,224.5,16.1,1095.8
SAM-8,35.573842,-83.651304,151.1,16.7,1119.4
SARI,39.600445,-79.069879,4863.1,19,549.2
SHRU,39.676476,-76.770905,253.3,11.9,163.2
SIL-1,35.59433,-83.567497,343.2,45.8,1039.4
SIL-10,35.585651,-83.564804,273.9,14.4,1131.4
SIL-4,35.591694,-83.566635,331.8,6.9,1065.3
SIL-9,35.586334,-83.565048,288.5,6.7,1125.7
SIRU,39.689018,-76.769867,328.9,1,179
SMBR,39.525089,-76.532013,445.1,8.1,125.5
SRUP,39.60001,-79.055,3438.2,5.4,583.1
STK-1,35.582123,-83.658608,243.6,15.9,990.4
TAY-1,35.605988,-83.321053,288.7,20.4,1021.7
TAY-11,35.612595,-83.314064,166.9,16.9,1117.3
TAY-4,35.608017,-83.319771,257.7,12.6,1047.2
TAY-9,35.61105,-83.315506,178.9,6.7,1095.5
TOM-1,35.760968,-83.207494,449.1,10.8,642.1
TPCR,34.95382,-83.22235,589.6,10.8,566.4
UBC,35.0452,-83.4471,204.1,8,833.1
WAL-1,35.54122,-83.643171,295.1,26.3,1093.9
WAL-1N,35.52623,-83.633865,737.5,13.5,898
WAL-2,35.542096,-83.642693,284.2,4.8,1105.1
WARU,39.691417,-76.777972,569.8,13.2,172.5
WCP-1,35.63427,-83.461884,1797.4,13,1121.8
WCP-2,35.622585,-83.44252,848,8.5,1227.7
WOBR,34.862796,-83.640389,107.7,6.1,865
WYRU,41.602211,-78.290344,655.7,9.7,441.4
